date,product,category,region,sales_amount,quantity,profit
2022-01-01,Bluetooth Speaker,Electronics,North,378.43,13,96.74
2022-01-01,Bookshelf,Furniture,Central,428.79,8,74.78
2022-01-01,Bookshelf,Furniture,West,948.54,14,155.88
2022-01-01,USB Hub,Electronics,West,1485.81,14,342.95
2022-01-01,Polo Shirt,Apparel,South,375.84,6,120.57
2022-01-02,Binder,Office Supplies,East,119.24,6,23.23
2022-01-02,Running Shoes,Apparel,East,93.32,1,20.25
2022-01-02,Filing Cabinet,Furniture,North,305.68,3,42.76
2022-01-02,Bluetooth Speaker,Electronics,North,97.07,10,12.04
2022-01-02,Wireless Mouse,Electronics,Central,1158.08,13,100.07
2022-01-03,Wireless Mouse,Electronics,East,247.02,4,45.97
2022-01-03,Pen Pack,Office Supplies,North,948.71,13,279.97
2022-01-03,Phone Case,Electronics,Central,392.81,7,96.32
2022-01-03,Notebook Set,Office Supplies,East,463.35,5,100.77
2022-01-03,Notebook Set,Office Supplies,West,68.5,1,17.37
2022-01-03,Notebook Set,Office Supplies,West,850.08,8,250.65
2022-01-03,Running Shoes,Apparel,South,203.64,2,36.2
2022-01-03,Notebook Set,Office Supplies,North,177.79,3,43.24
2022-01-03,Filing Cabinet,Furniture,North,762.28,14,71.63
2022-01-03,Office Chair,Furniture,North,293.37,8,79.17
2022-01-03,Bluetooth Speaker,Electronics,East,42.87,4,14.85
2022-01-03,Phone Case,Electronics,North,357.14,7,76.67
2022-01-03,Binder,Office Supplies,North,728.44,8,227.22
2022-01-03,Stapler,Office Supplies,West,90.78,3,13.75
2022-01-03,Notebook Set,Office Supplies,South,1012.01,8,240.44
2022-01-04,Stapler,Office Supplies,East,682.51,7,131.04
2022-01-04,USB Hub,Electronics,South,1026.69,13,107.56
2022-01-04,Winter Jacket,Apparel,North,96.77,1,32.26
2022-01-04,Wireless Mouse,Electronics,North,159.45,10,27.34
2022-01-04,Running Shoes,Apparel,Central,95.74,4,11.62
2022-01-04,Filing Cabinet,Furniture,West,396.15,4,74.47
2022-01-04,Bluetooth Speaker,Electronics,North,1297.88,14,367.4
2022-01-04,Phone Case,Electronics,West,279.88,3,75.71
2022-01-04,Running Shoes,Apparel,North,28.34,1,4.88
2022-01-04,Phone Case,Electronics,West,20.84,2,2.23
2022-01-05,Bookshelf,Furniture,South,85.02,2,7.52
2022-01-05,Office Chair,Furniture,Central,72.97,7,13.21
2022-01-05,Office Chair,Furniture,East,145.36,2,42.06
2022-01-05,Office Chair,Furniture,North,241.21,2,22.8
2022-01-05,Desk Lamp,Furniture,South,798.08,13,204.68
2022-01-05,Winter Jacket,Apparel,North,158.61,2,41.33
2022-01-05,Baseball Cap,Apparel,South,912.63,12,109.13
2022-01-05,Pen Pack,Office Supplies,West,858.48,8,74.84
2022-01-05,Pen Pack,Office Supplies,Central,388.84,12,62.79
2022-01-05,Polo Shirt,Apparel,West,151.11,6,19.49
2022-01-05,Running Shoes,Apparel,South,516.31,10,57.94
2022-01-06,Bookshelf,Furniture,South,565.21,11,86.98
2022-01-06,Wireless Mouse,Electronics,Central,906.25,13,163.74
2022-01-06,Desk Lamp,Furniture,North,431.57,13,52.15
2022-01-06,Filing Cabinet,Furniture,North,1116.52,11,361.08
2022-01-06,Polo Shirt,Apparel,East,1275.25,14,283.29
2022-01-06,USB Hub,Electronics,Central,615.87,12,107.08
2022-01-06,Office Chair,Furniture,West,244.25,5,22.24
2022-01-07,Phone Case,Electronics,East,32.48,2,7.31
2022-01-07,Notebook Set,Office Supplies,Central,544.3,5,124.56
2022-01-07,Running Shoes,Apparel,West,868.33,8,187.76
2022-01-07,Running Shoes,Apparel,East,254.2,9,66.03
2022-01-07,Stapler,Office Supplies,South,268.51,7,37.77
2022-01-07,Stapler,Office Supplies,Central,193.89,3,16.37
2022-01-07,Running Shoes,Apparel,Central,407.08,11,77.01
2022-01-07,Phone Case,Electronics,West,186.32,4,23.72
2022-01-08,Notebook Set,Office Supplies,West,373.74,14,40.56
2022-01-08,Baseball Cap,Apparel,South,697.58,11,60.79
2022-01-08,Running Shoes,Apparel,North,577.46,6,151.7
2022-01-08,Bookshelf,Furniture,East,168.96,2,43.07
2022-01-08,Binder,Office Supplies,Central,100.82,3,21.87
2022-01-08,Notebook Set,Office Supplies,West,943.59,11,130.71
2022-01-08,Binder,Office Supplies,Central,706.23,10,198.01
2022-01-08,Pen Pack,Office Supplies,North,403.87,9,128.48
2022-01-08,Baseball Cap,Apparel,West,122.68,6,10.03
2022-01-08,Bookshelf,Furniture,South,1375.96,12,270.21
2022-01-08,Notebook Set,Office Supplies,North,696.33,8,168.57
2022-01-08,Stapler,Office Supplies,Central,291.72,6,47.11
2022-01-08,Desk Lamp,Furniture,Central,88.67,1,8.94
2022-01-08,Stapler,Office Supplies,West,1025.95,11,326.43
2022-01-09,Winter Jacket,Apparel,East,132.93,2,44.07
2022-01-09,Office Chair,Furniture,East,1099.52,13,383.95
2022-01-09,Running Shoes,Apparel,South,301.12,10,38.76
2022-01-09,Notebook Set,Office Supplies,East,1020.24,14,268.27
2022-01-09,Pen Pack,Office Supplies,North,567.9,13,177.59
2022-01-09,Pen Pack,Office Supplies,East,1616.95,14,196.48
2022-01-09,Desk Lamp,Furniture,South,320.14,5,84.65
2022-01-09,Running Shoes,Apparel,West,395.69,5,60.21
2022-01-09,Notebook Set,Office Supplies,Central,283.29,6,67.63
2022-01-10,Filing Cabinet,Furniture,West,815.54,11,132.17
2022-01-10,USB Hub,Electronics,Central,1253.29,13,190.05
2022-01-10,Phone Case,Electronics,West,47.68,5,11.05
2022-01-10,Notebook Set,Office Supplies,Central,126.09,12,29.74
2022-01-11,Wireless Mouse,Electronics,East,403.92,4,78.61
